,head WID,rank
0,2886,312
1,15506,37
2,1,43748
3,1,50639
4,17134,1
5,8213,268
6,13971,0
7,10846,4
8,18083,335
9,1,44496
10,2141,414
11,23235,89
12,19690,2063
13,37470,4869
14,15095,0
15,13950,75
16,6731,45
17,20601,31175
18,34900,65460
19,36151,55834
20,13956,84
21,8734,224
22,19416,42
23,24702,0
24,6012,2560
25,23699,1
26,12968,113
27,9954,0
28,5889,1
29,6480,12458
30,6388,76
31,6223,3
32,25118,53565
33,5581,0
34,2908,12
35,9548,4
36,49352,697
37,31188,135
38,5733,3
39,11980,532
40,36979,48
41,1,35159
42,8266,151
43,2603,5508
44,6365,248
45,1,31361
46,24148,27790
47,84010,64846
48,1,45040
49,32023,240
50,31411,36556
51,2530,10
52,49479,2005
53,599,102
54,8154,430
55,10644,24
56,4481,0
57,20039,22802
58,26295,3133
59,7361,29
60,64817,3
61,1,20380
62,1531,32
63,13467,2546
64,4087,39
65,32858,43932
66,6876,403
67,18655,40
68,1,49084
69,12167,74454
70,17352,14
71,5667,16
72,1,40817
73,13511,17
74,15965,60
75,3201,1
76,513,1718
77,2209,204
78,12881,731
79,32787,198
80,35887,124
81,11933,20
82,15387,764
83,22875,51
84,1,50075
85,1981,173
86,23732,1
87,10618,2214
88,95782,6
89,5695,21
90,355,2
91,37881,2
92,18847,54759
93,25095,6
94,20043,2
95,1,30342
96,14894,524
97,11083,35
98,14574,5
99,20241,0
100,21608,53485
101,11209,2
102,228,5948
103,1177,5
104,22866,236
105,9031,226
106,15612,82
107,90261,70457
108,7765,0
109,18365,132
110,8843,183
111,10145,40
112,1,51796
113,1,47667
114,6191,11
115,1,45075
116,11089,46761
117,13406,0
118,10211,172
119,54112,13305
120,1,41175
121,1,26446
122,1,28844
123,16649,1
124,9982,124
125,4142,13
126,80171,62747
127,19915,434
128,4509,3941
129,14855,104
130,6587,1651
131,16912,12
132,1,28141
133,49307,160
134,1,48146
135,1,28141
136,12666,2572
137,10188,3958
138,31308,4578
139,2809,10
140,3932,1
141,11603,138
142,1630,0
143,46497,11
144,21814,3
145,21586,1108
146,25697,401
147,17829,9
148,1758,530
149,28453,46
150,24646,229
151,6061,262
152,5226,4
153,20219,45
154,1548,6
155,10745,47475
156,27875,8578
157,10748,569
158,2026,588
159,4196,572
160,270,42
161,6436,1
162,2199,3174
163,2465,3861
164,9723,121
165,1,27062
166,49260,14609
167,24696,2921
168,30603,4
169,2752,1
170,32190,2
171,10950,1
172,1,49390
173,7623,5
174,1,31833
175,32088,274
176,5696,17
177,25145,23
178,1943,11
179,1,49796
180,22528,3
181,12519,19
182,51436,784
183,18626,1
184,3410,270
185,17857,12405
186,26654,53980
187,4855,3
188,75693,62051
189,1,49770
190,6025,116
191,8128,14676
192,8214,8593
193,15932,7
194,16200,13501
195,1,52066
196,25629,261
197,15333,839
198,41963,0
199,1997,1696
