,head WID,rank
0,1,3559
1,13374,0
2,26196,3493
3,6003,46
4,18091,215
5,84171,6410
6,28506,1280
7,3391,2
8,4375,0
9,5798,5
10,26793,0
11,1,1890
12,7632,268
13,12979,3261
14,51586,2273
15,33713,15
16,12869,16
17,1,3355
18,1,3419
19,8233,0
20,17353,2
21,3426,33
22,23065,98
23,102,0
24,41805,0
25,6214,1
26,7608,0
27,959,0
28,51468,28
29,13492,38
30,1373,2213
31,1,1831
32,5536,183
33,7828,25
34,1917,0
35,15787,2020
36,4352,54
37,3490,23
38,1,2580
39,9921,651
40,5802,18
41,3712,2
42,1,2550
43,83906,5269
44,1,3466
45,6530,0
46,16194,0
47,4724,0
48,2713,25
49,1095,13
50,13395,97
51,14881,1
52,1202,0
53,39208,101
54,1,1763
55,43323,1
56,13012,2100
57,6241,268
58,57118,92
59,24287,0
60,2714,0
61,24284,2
62,11301,1
63,1,3564
64,436,1
65,45269,93
66,809,3
67,12645,369
68,26607,16
69,16417,4
70,5021,4916
71,11424,0
72,15220,0
73,33880,3541
74,43395,9
75,14071,66
76,22300,4103
77,42008,7
78,20790,185
79,57150,9564
80,7039,1
81,780,87
82,3056,0
83,35620,5
84,4345,13
85,1,2071
86,49492,8
87,6181,61
88,647,127
89,1,2876
90,1,3300
91,1,3433
92,1,3237
93,3954,256
94,4232,299
95,1975,27
96,20317,3
97,69789,4
98,12026,0
99,60654,0
0,3771,0
1,696,40
2,75678,7226
3,2109,4
4,43291,6824
5,47188,880
6,7597,3536
7,16427,0
8,1,3313
9,4526,32
10,1,3348
11,31556,23
12,7714,18
13,524,5964
14,1716,0
15,15074,0
16,39247,5462
17,57181,29
18,54477,0
19,9080,143
20,6411,5
21,24595,2
22,1,3483
23,1177,0
24,4403,13041
25,31268,0
26,45,35
27,832,0
28,17818,27
29,30571,53
30,28409,0
31,1,3711
32,8962,1
33,20975,11
34,2199,3
35,37994,6880
36,1,3453
37,1,1917
38,26053,8
39,6941,4361
40,13536,332
41,2968,154
42,1,2163
43,6445,3
44,18399,14
45,14065,49
46,8316,13
